report_folder,model_name,design_total_source_cases,design_to_code_alignment,requirement_total_source_cases,requirement_to_code_alignment
report_01,BAAI/bge-large-en-v1.5,19,0.8472894524273119,72,0.8234895418087641
report_02,BAAI/bge-large-en-v1.5,24,0.8376243561506271,58,0.8270028613764664
report_03,BAAI/bge-large-en-v1.5,29,0.8691851393929844,123,0.8327542843857432
report_04,BAAI/bge-large-en-v1.5,9,0.8473214639557732,52,0.8067991836712911
report_05,BAAI/bge-large-en-v1.5,22,0.8778320767662742,85,0.8623599213712355
report_06,BAAI/bge-large-en-v1.5,24,0.8345081383983294,66,0.835690416169889
report_07,BAAI/bge-large-en-v1.5,27,0.822604755560557,27,0.8230105329442907
report_08,BAAI/bge-large-en-v1.5,12,0.8303705404202143,53,0.818599745912372
report_09,BAAI/bge-large-en-v1.5,24,0.8320070480306944,114,0.8202894518249914
report_10,BAAI/bge-large-en-v1.5,22,0.8588929636911913,65,0.8379442572593689
report_12,BAAI/bge-large-en-v1.5,19,0.8445821875020078,111,0.8352801488326477
report_13,BAAI/bge-large-en-v1.5,30,0.8165065189202626,56,0.8400173304336411
report_14,BAAI/bge-large-en-v1.5,21,0.8199171423912048,77,0.8220648633969294
report_15,BAAI/bge-large-en-v1.5,28,0.7958225650446755,74,0.8242659174107216
report_16,BAAI/bge-large-en-v1.5,18,0.8297615051269531,41,0.8250957640205941
report_19,BAAI/bge-large-en-v1.5,30,0.8169981877009074,56,0.8401085755654744
report_21,BAAI/bge-large-en-v1.5,23,0.8415586766989335,100,0.8296002209186554
report_22,BAAI/bge-large-en-v1.5,25,0.8512640380859375,81,0.8375560295434645
report_23,BAAI/bge-large-en-v1.5,23,0.8459595001262167,131,0.8530558197552921
report_24,BAAI/bge-large-en-v1.5,27,0.8252960443496704,69,0.8277817022973213
report_25,BAAI/bge-large-en-v1.5,6,0.8358655174573263,65,0.8272756218910218
report_26,BAAI/bge-large-en-v1.5,30,0.8498000025749206,86,0.8234451329985331
report_27,BAAI/bge-large-en-v1.5,31,0.888363113326411,33,0.820474953362436
report_28,BAAI/bge-large-en-v1.5,10,0.8283430397510528,90,0.8147871580388811
report_29,BAAI/bge-large-en-v1.5,18,0.830915328529146,75,0.8210030293464661
report_30,BAAI/bge-large-en-v1.5,33,0.8099564187454454,55,0.7989172805439342
report_31,BAAI/bge-large-en-v1.5,22,0.874913527206941,105,0.8292445574487959
report_32,BAAI/bge-large-en-v1.5,16,0.8164535388350487,82,0.8206005576180249
report_33,BAAI/bge-large-en-v1.5,24,0.836959533393383,47,0.8293850396541839
