test_case_id,title,module,source_files,covered_methods,preconditions,test_data,test_steps,expected_result
TC-StatisticsFragment-001,Test onCreate initializes OkHttpClient,StatisticsFragment,"[""Ecodriving/app/src/main/java/com/example/ecodriving/ui/statistics/StatisticsFragment.java""]","[""onCreate""]","[""None""]","[""None""]","[""Create an instance of StatisticsFragment."", ""Call the onCreate method with a mock Bundle.""]","[""The OkHttpClient is initialized within the onCreate method.""]"
TC-StatisticsFragment-002,Test onCreateView inflates layout and sets up chart,StatisticsFragment,"[""Ecodriving/app/src/main/java/com/example/ecodriving/ui/statistics/StatisticsFragment.java""]","[""onCreateView"", ""setupChart""]","[""None""]","[""None""]","[""Create an instance of StatisticsFragment."", ""Call the onCreateView method with a mock LayoutInflater, ViewGroup, and Bundle."", ""Verify that the FragmentDashboardBinding is correctly inflated."", ""Check that the setupChart method is called on the graphWeekly chart.""]","[""The layout is correctly inflated."", ""The setupChart method configures the chart properties as expected.""]"
TC-StatisticsFragment-003,Test loadDashboardData handles user not logged in,StatisticsFragment,"[""Ecodriving/app/src/main/java/com/example/ecodriving/ui/statistics/StatisticsFragment.java""]","[""loadDashboardData""]","[""Mock SharedPreferences without user_id""]","[""None""]","[""Create an instance of StatisticsFragment."", ""Call the loadDashboardData method."", ""Verify that a toast message 'Errore: utente non loggato' is displayed.""]","[""The toast message 'Errore: utente non loggato' is shown when user_id is null.""]"
TC-StatisticsFragment-004,Test loadDashboardData handles successful API response,StatisticsFragment,"[""Ecodriving/app/src/main/java/com/example/ecodriving/ui/statistics/StatisticsFragment.java""]","[""loadDashboardData"", ""updateStatistics"", ""updateGraph""]","[""Mock successful API response with sample data""]","[""Sample JSON response with total_emissions, total_distance, weekly_trips, and daily_emissions""]","[""Create an instance of StatisticsFragment."", ""Call the loadDashboardData method."", ""Verify that the updateStatistics method updates the UI elements with correct values."", ""Verify that the updateGraph method populates the chart with correct data points.""]","[""The UI elements are updated with the correct statistics values."", ""The chart is populated with the correct data points.""]"
TC-StatisticsFragment-005,Test loadDashboardData handles API error,StatisticsFragment,"[""Ecodriving/app/src/main/java/com/example/ecodriving/ui/statistics/StatisticsFragment.java""]","[""loadDashboardData""]","[""Mock API error response""]","[""Error response from API""]","[""Create an instance of StatisticsFragment."", ""Call the loadDashboardData method."", ""Verify that a toast message 'Errore durante il caricamento dei dati' is displayed.""]","[""The toast message 'Errore durante il caricamento dei dati' is shown when API call fails.""]"
TC-StatisticsFragment-006,Test loadDashboardData handles network connection error,StatisticsFragment,"[""Ecodriving/app/src/main/java/com/example/ecodriving/ui/statistics/StatisticsFragment.java""]","[""loadDashboardData""]","[""Mock network connection error""]","[""Network error""]","[""Create an instance of StatisticsFragment."", ""Call the loadDashboardData method."", ""Verify that a toast message 'Errore di connessione' is displayed.""]","[""The toast message 'Errore di connessione' is shown when network connection fails.""]"
TC-StatisticsFragment-007,Test updateGraph formats dates correctly,StatisticsFragment,"[""Ecodriving/app/src/main/java/com/example/ecodriving/ui/statistics/StatisticsFragment.java""]","[""updateGraph""]","[""Mock date data""]","[""List of daily emission data with formatted dates""]","[""Create an instance of StatisticsFragment."", ""Call the updateGraph method with mocked data."", ""Verify that the X-axis labels are correctly formatted as 'dd/MM/yyyy'.""]","[""The X-axis labels are formatted as 'dd/MM/yyyy'.""]"
TC-StatisticsFragment-008,Test updateStatistics updates UI elements,StatisticsFragment,"[""Ecodriving/app/src/main/java/com/example/ecodriving/ui/statistics/StatisticsFragment.java""]","[""updateStatistics""]","[""Mock statistical data""]","[""Sample statistical data with total_emissions, total_distance, and weekly_trips""]","[""Create an instance of StatisticsFragment."", ""Call the updateStatistics method with mocked data."", ""Verify that the UI elements display the correct statistical values.""]","[""The UI elements display the correct statistical values.""]"
TC-StatisticsFragment-009,Test setValueFormatter formats values correctly,StatisticsFragment,"[""Ecodriving/app/src/main/java/com/example/ecodriving/ui/statistics/StatisticsFragment.java""]","[""setValueFormatter""]","[""Mock list of days""]","[""List of days""]","[""Create an instance of StatisticsFragment."", ""Call the setValueFormatter method with mocked data."", ""Verify that the formatted values match the expected format.""]","[""The formatted values match the expected format.""]"
TC-StatisticsFragment-010,Test onDestroyView releases resources,StatisticsFragment,"[""Ecodriving/app/src/main/java/com/example/ecodriving/ui/statistics/StatisticsFragment.java""]","[""onDestroyView""]","[""None""]","[""None""]","[""Create an instance of StatisticsFragment."", ""Call the onDestroyView method."", ""Verify that the binding is set to null.""]","[""The binding is set to null after calling onDestroyView.""]"
